Timestamp,Source_IP,Destination_Port,Event_Type,Severity,Is_Internal
2025-06-01 03:00:00,172.16.0.9,3389,Failed Login,2,True
2025-06-01 05:00:00,203.0.113.4,80,Failed Login,1,False
2025-06-01 09:00:00,10.0.0.5,443,Failed Login,2,False
2025-06-01 12:00:00,172.16.0.9,3389,Failed Login,4,False
2025-06-01 15:00:00,192.168.1.1,3389,Failed Login,4,True
2025-06-01 17:00:00,203.0.113.4,80,Failed Login,1,False
2025-06-02 02:00:00,10.0.0.5,80,Failed Login,3,True
2025-06-02 04:00:00,203.0.113.4,3389,Failed Login,4,True
2025-06-02 05:00:00,203.0.113.4,3389,Failed Login,4,False
2025-06-02 19:00:00,203.0.113.4,3389,Failed Login,2,False
2025-06-02 22:00:00,203.0.113.4,443,Failed Login,3,True
2025-06-02 23:00:00,172.16.0.9,443,Failed Login,4,False
2025-06-03 00:00:00,10.0.0.5,22,Failed Login,4,True
2025-06-03 03:00:00,10.0.0.5,443,Failed Login,1,False
2025-06-03 05:00:00,203.0.113.4,443,Failed Login,4,False
2025-06-03 06:00:00,172.16.0.9,22,Failed Login,4,True
2025-06-03 12:00:00,172.16.0.9,443,Failed Login,4,False
2025-06-03 14:00:00,192.168.1.1,3389,Failed Login,1,False
2025-06-03 15:00:00,192.168.1.1,3389,Failed Login,2,True
2025-06-04 02:00:00,192.168.1.1,3389,Failed Login,1,True
2025-06-04 04:00:00,203.0.113.4,443,Failed Login,4,True
2025-06-04 06:00:00,172.16.0.9,22,Failed Login,2,True
2025-06-04 14:00:00,10.0.0.5,80,Failed Login,3,True
2025-06-04 15:00:00,192.168.1.1,443,Failed Login,3,False
2025-06-04 16:00:00,203.0.113.4,443,Failed Login,1,True
2025-06-04 18:00:00,203.0.113.4,443,Failed Login,3,False
2025-06-04 20:00:00,10.0.0.5,22,Failed Login,4,True
2025-06-05 02:00:00,10.0.0.5,22,Failed Login,4,True
